FID,Id,x,y
434,0,112.965928765000001,28.208786266200001
435,0,112.966030380000007,28.208776842199999
436,0,112.966131637000004,28.208764252000002
437,0,112.966232794999996,28.208750785700001
438,0,112.966333954999996,28.208737328500000
439,0,112.966435114999996,28.208723872099998
440,0,112.966536274999996,28.208710415599999
441,0,112.968612514000000,28.207085184699999
442,0,112.968714071999997,28.207075158700000
443,0,112.968815629000005,28.207065132699999
444,0,112.968917185999999,28.207055106700000
445,0,112.968547932999996,28.207141781800001
446,0,112.968569121000002,28.207241607800000
447,0,112.968590250999995,28.207341447099999
448,0,112.969149818999995,28.207403510799999
449,0,112.969153496000004,28.207301526300000
450,0,112.969157172999999,28.207199541700000
451,0,112.969160849999994,28.207097557099999
452,0,112.969164527000004,28.206995572600000
453,0,112.969168203999999,28.206893588000000
454,0,112.969171880999994,28.206791603399999
455,0,112.969250517000006,28.206727323300001
456,0,112.969330205000006,28.206663572699998
457,0,112.969321377000000,28.206563278400001
458,0,112.969309870999993,28.206461878300001
459,0,112.969168238999998,28.207418272300000
460,0,112.969270269999996,28.207420278000001
461,0,112.969372301000007,28.207422283700001
462,0,112.969474332000004,28.207424289399999
463,0,112.969576363000002,28.207426295200001
464,0,112.969678395000003,28.207428300899998
465,0,112.969780426000000,28.207430306599999
466,0,112.969882454000000,28.207432429099999
467,0,112.969984478000001,28.207434786200000
468,0,112.970086500999997,28.207437143300002
469,0,112.969190959000002,28.207459062100000
470,0,112.969263552000001,28.207530788600000
471,0,112.969336143999996,28.207602515100000
472,0,112.969403134999993,28.207679075200002
473,0,112.969463454999996,28.207761390600002
474,0,112.969523776000003,28.207843705999998
475,0,112.969584096000006,28.207926021399999
476,0,112.969644415999994,28.208008336799999
477,0,112.968703280000000,28.207415089800001
478,0,112.968804509999998,28.207402169100000
479,0,112.968905771999999,28.207392265500001
480,0,112.969007262999995,28.207402948700000
481,0,112.969108753000000,28.207413631900000
482,0,112.968621060000004,28.207487157399999
483,0,112.968642144000000,28.207587006600001
484,0,112.968663227999997,28.207686855700000
485,0,112.968684311999993,28.207786704800000
486,0,112.968705395000001,28.207886553900000
487,0,112.970108718999995,28.207347284899999
488,0,112.970085471999994,28.207247917099998
489,0,112.970062225000007,28.207148549399999
490,0,112.970038977000002,28.207049181700000
491,0,112.970019672000006,28.206949392700000
492,0,112.970021392000007,28.206847356400001
493,0,112.970023112999996,28.206745320000000
494,0,112.970024832999997,28.206643283700000
495,0,112.970026554000000,28.206541247400001
496,0,112.970028274000001,28.206439211100001
497,0,112.970029995000004,28.206337174700000
498,0,112.966192711999994,28.207378276299998
499,0,112.966172990999993,28.207278149200000
500,0,112.966156038999998,28.207177658199999
501,0,112.966149229999999,28.207075834899999
502,0,112.966142419999997,28.206974011500002
503,0,112.966135609999995,28.206872188100000
504,0,112.966221926000003,28.207441963200001
505,0,112.966323688000003,28.207434300500001
